datetime,temperature,humidity,pressure,wind_speed,description
2025-10-26 06:00:00,30.68,57,1010,2.53,overcast clouds
2025-10-26 09:00:00,30.7,57,1009,3.24,light rain
2025-10-26 12:00:00,27.06,77,1009,2.24,light rain
2025-10-26 15:00:00,22.87,96,1011,0.23,light rain
2025-10-26 18:00:00,22.14,98,1011,1.02,overcast clouds
2025-10-26 21:00:00,21.75,98,1009,1.22,overcast clouds
2025-10-27 00:00:00,21.45,98,1009,1.05,overcast clouds
2025-10-27 03:00:00,24.43,86,1012,1.14,overcast clouds
2025-10-27 06:00:00,27.45,71,1010,1.85,light rain
2025-10-27 09:00:00,23.31,97,1008,1.88,moderate rain
2025-10-27 12:00:00,22.57,98,1010,1.96,moderate rain
2025-10-27 15:00:00,22.19,99,1012,0.63,light rain
2025-10-27 18:00:00,21.8,100,1011,0.74,light rain
2025-10-27 21:00:00,21.16,100,1009,1.5,light rain
2025-10-28 00:00:00,21.01,98,1010,0.85,overcast clouds
2025-10-28 03:00:00,22.15,96,1011,0.76,overcast clouds
2025-10-28 06:00:00,23.47,92,1010,0.71,overcast clouds
2025-10-28 09:00:00,23.58,94,1007,0.63,overcast clouds
2025-10-28 12:00:00,22.98,96,1008,1.0,overcast clouds
2025-10-28 15:00:00,22.04,98,1010,0.99,overcast clouds
2025-10-28 18:00:00,22.15,99,1009,1.0,light rain
2025-10-28 21:00:00,22.34,100,1007,0.66,moderate rain
2025-10-29 00:00:00,22.26,100,1008,0.98,moderate rain
2025-10-29 03:00:00,24.35,94,1010,0.58,light rain
2025-10-29 06:00:00,27.08,81,1010,2.61,light rain
2025-10-29 09:00:00,26.92,85,1008,2.65,light rain
2025-10-29 12:00:00,24.11,92,1008,1.95,light rain
2025-10-29 15:00:00,21.84,98,1010,0.77,light rain
2025-10-29 18:00:00,21.57,98,1010,0.87,light rain
2025-10-29 21:00:00,22.01,98,1008,1.14,light rain
2025-10-30 00:00:00,21.73,98,1009,1.32,light rain
2025-10-30 03:00:00,24.88,90,1011,1.56,light rain
2025-10-30 06:00:00,29.01,65,1011,3.47,light rain
2025-10-30 09:00:00,28.42,70,1009,3.65,light rain
2025-10-30 12:00:00,24.46,90,1010,1.97,light rain
2025-10-30 15:00:00,22.08,97,1012,0.65,light rain
2025-10-30 18:00:00,21.18,99,1012,0.8,light rain
2025-10-30 21:00:00,20.72,99,1010,1.1,few clouds
2025-10-31 00:00:00,20.55,99,1011,0.91,scattered clouds
2025-10-31 03:00:00,23.48,93,1013,0.82,light rain
